time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.1000000000000014,-0.0149417798722,1.25930449483,15.1395630654,0.158052187218,0.0295012597636,0.0,-0.129003727603,1.84414447868,4.42767328733,0.0870554562189,0.029861629285,0.0,382.6368322176129,382.83592956076535,380.8583278720934,382.1558118410846
2.1600000000000015,-0.0232960089263,1.37315589674,15.4078662507,0.163375555759,0.03185417933,0.0,-0.149671699099,1.95132739124,4.51523347198,0.0918627055205,0.0533294618403,0.0,455.4340272483151,457.30807819961404,455.46119241825744,455.85187534514625
2.2200000000000015,-0.0329163585505,1.49340272614,15.6805733631,0.168713780776,0.0354251979565,0.0,-0.171326525328,2.05732971277,4.5745678832,0.0824522390958,0.0696638819072,0.0,447.6276355943579,448.9574816506142,448.6744574966652,447.91618939194217
2.2800000000000016,-0.0438696219515,1.61991863375,15.9557378433,0.173174913544,0.0393435189883,0.0,-0.194148486506,2.16022834228,4.59730437505,0.0486334715848,0.0547361225594,0.0,438.1871072507842,436.94738837509647,438.8075026767842,435.9947608599394
2.3400000000000016,-0.0561818032153,1.75232623905,16.23026766,0.17571238795,0.0429293771653,0.0,-0.216544039883,2.2535508041,4.55374090883,0.024928313723,0.0682865772586,0.0,415.80767204008924,416.9959840518418,416.5464139905345,414.46894459094665
2.4000000000000017,-0.0700827393734,1.89109495215,16.5063075344,0.177474429909,0.046823457489,0.0,-0.247209107252,2.37209493427,4.6470577047,0.0370247901992,0.0570896883323,0.0,460.91647458541917,460.0335211841731,459.6271916461148,460.5852141770897
2.4600000000000017,-0.0859224380632,2.03707725014,16.788347087,0.179961536392,0.0507900474887,0.0,-0.28114391448,2.4940648437,4.75363719293,0.0490904170531,0.0798325401271,0.0,465.3534032453975,467.13338500614066,464.26133608597513,465.2080005482244
2.520000000000002,-0.103755240528,2.18996339641,17.0742659022,0.182561287938,0.0553554507,0.0,-0.313703110009,2.60229489165,4.77671817598,0.0281599917578,0.067301346789,0.0,441.1638867232914,440.13239058302923,441.33390142725426,439.60370233428296
2.580000000000002,-0.12366784201,2.34951537164,17.3623242483,0.183950588293,0.0593641775195,0.0,-0.350417161035,2.71612317533,4.82486469577,0.0105669689894,0.0658157522196,0.0,449.3772283007889,449.2600468604689,449.69400421002894,448.26647115541215
2.640000000000002,-0.145886198451,2.51598047794,17.6536684494,0.184439676305,0.063878819674,0.0,-0.390589510738,2.83261969756,4.88620080482,0.00282023808043,0.0894406295536,0.0,452.5526408246661,454.45470245303454,454.9269641721893,454.3060393306939
